id,district,locality,families,households,population,male,female
233,Rautahat,Gaur ,7743,6062,40368,20655,19713
234,Rautahat,Gujara ,9682,7989,54089,26391,27698
235,Rautahat,Ishanath ,8084,6289,53402,26821,26581
236,Rautahat,Katahariya ,7789,5933,47455,24148,23307
237,Rautahat,Madhav Narayan ,7081,5575,40974,20953,20021
238,Rautahat,Maulapur ,5428,4164,32468,16702,15766
239,Rautahat,Paroha ,7214,5656,46749,23068,23681
240,Rautahat,Phatuwa Bijayapur ,7777,6323,44358,21882,22476
241,Rautahat,Rajdevi ,5919,4600,33836,16923,16913
242,Rautahat,Rajpur ,8254,6205,54372,26939,27433
243,Rautahat,Yemunamai  ,4728,3622,28607,14042,14565
244,Bara,Adarshkotwal  ,5196,4217,29586,15141,14445
245,Bara,Baragadhi  ,5118,4071,29836,15164,14672
246,Bara,Bishrampur  ,4310,3678,23891,12535,11356
247,Bara,Devtal  ,3936,3143,25082,13388,11694
248,Bara,Jitpur Simara Sub-Metropolitian City,23677,19848,119148,60461,58687
249,Bara,Kalaiya Sub-Metropolitian City,23760,19810,141179,72540,68639
250,Bara,Karaiyamai  ,5154,4026,29045,14583,14462
251,Bara,Kolhabi ,11495,9728,46200,22362,23838
252,Bara,Mahagadhimai ,9952,8020,59744,30717,29027
253,Bara,Nijgadh ,8455,7931,36591,18006,18585
254,Bara,Pacharauta ,6402,5128,40252,20468,19784
255,Bara,Parwanipur  ,3664,2975,22466,11767,10699
256,Bara,Pheta  ,5195,4414,28922,14888,14034
257,Bara,Prasauni  ,3400,2924,21747,11146,10601
258,Bara,Simraungadh ,9064,7645,53103,27378,25725
259,Bara,Suwarna  ,5584,4743,35875,18528,17347
260,Parsa,Bahudaramai ,7058,5721,43780,22801,20979
261,Parsa,Bindabasini  ,3832,3210,24466,12637,11829
262,Parsa,Birgunj Metropolitian City,47218,36697,268273,139849,128424
263,Parsa,Chhipaharmai  ,4316,3698,26742,13732,13010
264,Parsa,Dhobini  ,3585,3063,22846,11803,11043
265,Parsa,Jagarnathpur  ,5846,4960,32737,16537,16200
266,Parsa,Jirabhawani  ,5287,4280,22602,11200,11402
267,Parsa,Kalikamai  ,3788,3099,23740,12232,11508
268,Parsa,Pakahamainpur  ,3825,3406,22957,12073,10884
269,Parsa,Parsagadhi ,8002,6653,41477,21023,20454
270,Parsa,Paterwasugauli  ,4850,3851,25508,12866,12642
271,Parsa,Pokhariya ,6614,5504,38985,20285,18700
272,Parsa,SakhuwaPrasauni  ,6382,5244,35712,17890,17822
273,Parsa,Thori  ,4546,4333,17494,8346,9148
274,Sindhuli,Dudhouli ,16231,14869,70679,34227,36452
275,Sindhuli,Ghanglekh  ,2875,2801,12701,6214,6487
276,Sindhuli,Golanjor  ,4537,4340,19012,9296,9716
277,Sindhuli,Hariharpurgadhi  ,5298,5199,26829,13132,13697
278,Sindhuli,Kamalamai ,18238,15913,71811,34922,36889
279,Sindhuli,Marin  ,6089,5843,28988,14277,14711
280,Sindhuli,Phikkal  ,3091,3039,14359,7058,7301
281,Sindhuli,Sunkoshi  ,5075,4920,18136,8772,9364
282,Sindhuli,Tinpatan  ,7939,7669,35145,17429,17716
283,Ramechhap,Doramba  ,5036,4928,17529,8129,9400
284,Ramechhap,Gokulganga  ,4897,4773,18363,8826,9537
285,Ramechhap,Khadadevi  ,5507,5392,19381,9174,10207
286,Ramechhap,Likhu Tamakoshi  ,5310,5149,18675,8702,9973
287,Ramechhap,Manthali ,11105,10212,40230,18967,21263
288,Ramechhap,Ramechhap ,6663,6456,25117,11829,13288
289,Ramechhap,Sunapati  ,4201,4100,14616,6932,7684
290,Ramechhap,Umakunda  ,4216,4063,16709,8219,8490
291,Dolakha,Baiteshwor  ,5412,5212,17947,8613,9334
292,Dolakha,Bhimeshwor ,10265,9049,35122,16895,18227
293,Dolakha,Bigu  ,5055,4805,16299,7853,8446
294,Dolakha,Gaurishankar  ,4667,4612,15982,7889,8093
295,Dolakha,Jiri ,4102,3959,15500,7530,7970
296,Dolakha,Kalinchok  ,6268,6046,21210,10354,10856
297,Dolakha,Melung  ,4877,4759,16051,7571,8480
298,Dolakha,Sailung  ,5248,5088,18328,9048,9280
299,Dolakha,Tamakoshi  ,4759,4317,15237,7369,7868
300,Sindhupalchok,Barhabise ,6994,6677,24158,11980,12178
301,Sindhupalchok,Balefi  ,4730,4467,16465,8062,8403
302,Sindhupalchok,Bhotekoshi  ,3769,3622,14239,7259,6980
303,Sindhupalchok,Chautara SangachokGadhi ,11936,11111,42962,20356,22606
304,Sindhupalchok,Helambu  ,4755,4589,17723,8907,8816
305,Sindhupalchok,Indrawati  ,6812,6584,25518,12114,13404
306,Sindhupalchok,Jugal  ,4698,4549,19148,9657,9491
307,Sindhupalchok,Lisangkhu Pakhar  ,3746,3605,11560,5713,5847
308,Sindhupalchok,Melamchi ,11349,10811,41170,20073,21097
309,Sindhupalchok,Panchpokhari Thangpal  ,5917,5634,20978,10596,10382
310,Sindhupalchok,Sunkoshi  ,4597,4509,15307,7376,7931
311,Sindhupalchok,Tripurasundari  ,3653,3551,12194,5972,6222
312,Kavrepalanchok,Banepa ,16973,12545,67629,33180,34449
313,Kavrepalanchok,Bethanchowk  ,3900,3730,14996,7229,7767
314,Kavrepalanchok,Bhumlu  ,4524,4407,15858,7607,8251
315,Kavrepalanchok,Chaurideurali  ,4181,4084,14106,6668,7438
316,Kavrepalanchok,Dhulikhel ,8808,7309,36183,18501,17682
317,Kavrepalanchok,Khanikhola  ,2484,2455,12375,6131,6244
318,Kavrepalanchok,Mahabharat  ,3327,3297,16148,7933,8215
319,Kavrepalanchok,Mandandeupur ,8220,7861,31261,15335,15926
320,Kavrepalanchok,Namobuddha ,7406,6988,26280,12579,13701
321,Kavrepalanchok,Panauti ,12986,11555,52078,25457,26621
322,Kavrepalanchok,Panchkhal ,9295,8783,35992,17471,18521
323,Kavrepalanchok,Roshi  ,6148,6039,23551,11458,12093
324,Kavrepalanchok,Temal  ,4930,4872,16959,8197,8762
325,Lalitpur,Bagmati  ,2800,2735,11196,5637,5559
326,Lalitpur,Godawari ,24771,20966,100972,49707,51265
327,Lalitpur,Konjyosom  ,2176,2148,9042,4499,4543
328,Lalitpur,Lalitpur Metropolitian City,77872,49044,299843,150702,149141
329,Lalitpur,Mahalaxmi ,31509,20659,118710,60388,58322
330,Lalitpur,Mahankal  ,1878,1836,7861,3913,3948
331,Bhaktapur,Bhaktapur ,18854,12200,78854,39664,39190
332,Bhaktapur,Changunarayan ,21946,17373,88612,44073,44539
333,Bhaktapur,Madhyapur Thimi ,31768,17639,119955,60954,59001
334,Bhaktapur,Suryabinayak ,35885,23637,137971,68971,69000
335,Kathmandu,Budhanilakantha ,47169,26910,179688,89284,90404
336,Kathmandu,Chandragiri ,36012,22070,136928,68350,68578
337,Kathmandu,Dakshinkali ,6527,5568,26744,13179,13565
338,Kathmandu,Gokarneshwor ,40114,19098,151200,74453,76747
339,Kathmandu,Kageshwori Manahora ,34794,21028,133327,66138,67189
340,Kathmandu,Kathmandu Metropolitian City,231714,105649,845767,431501,414266
341,Kathmandu,Kirtipur ,24211,12676,81782,43378,38404
342,Kathmandu,Nagarjun ,31323,17466,115507,57631,57876
343,Kathmandu,Shankharapur ,7275,6479,30414,15188,15226
344,Kathmandu,Tarakeshwor ,41364,21623,151508,75300,76208
345,Kathmandu,Tokha ,37413,17239,135741,67396,68345
346,Nuwakot,Belkotgadhi ,9464,9244,35200,17139,18061
347,Nuwakot,Bidur ,15604,13911,60111,29043,31068
348,Nuwakot,Dupcheshwar  ,5195,5023,21019,10473,10546
349,Nuwakot,Kakani  ,6388,6012,24323,11969,12354
350,Nuwakot,Kispang  ,3969,3853,14122,6920,7202
351,Nuwakot,Likhu  ,4604,4374,17737,8646,9091
352,Nuwakot,Myagang  ,3755,3595,12417,6086,6331
353,Nuwakot,Panchakanya  ,3629,3539,13864,6771,7093
354,Nuwakot,Shivapuri  ,4877,4795,16979,8115,8864
355,Nuwakot,Suryagadhi  ,3842,3776,14929,7256,7673
356,Nuwakot,Tadi  ,4031,3867,16055,7911,8144
357,Nuwakot,Tarkeshwar  ,3792,3735,14164,6670,7494
358,Rasuwa,Gosaikunda  ,2477,2149,8043,4071,3972
359,Rasuwa,Kalika  ,2474,2412,10172,5011,5161
360,Rasuwa,Naukunda  ,2899,2878,12095,6059,6036
361,Rasuwa,Amachodingmo  ,1727,1688,6673,3486,3187
362,Rasuwa,Uttargaya  ,2264,2235,8571,4232,4339
363,Dhading,Benighat Rorang  ,7791,6979,34473,17542,16931
364,Dhading,Dhunibesi ,7235,6777,29126,14411,14715
365,Dhading,Gajuri  ,6909,6306,28756,14471,14285
366,Dhading,Galchi  ,6212,5783,24206,11875,12331
367,Dhading,Gangajamuna  ,5305,5183,19460,9494,9966
368,Dhading,Jwalamukhi  ,6116,5972,21202,9898,11304
369,Dhading,Khaniyabash  ,2640,2618,10680,5175,5505
370,Dhading,Netrawati Dabjong  ,3295,3242,11271,5390,5881
371,Dhading,Nilakantha ,16579,14281,58151,27136,31015
372,Dhading,Rubi Valley  ,3005,2989,10472,5261,5211
373,Dhading,Siddhalek  ,5883,5795,22212,10652,11560
374,Dhading,Thakre  ,7745,7142,31554,15797,15757
375,Dhading,Tripura Sundari  ,5748,5596,21188,10105,11083
376,Makwanpur,Bagmati  ,6498,6195,30625,15111,15514
377,Makwanpur,Bakaiya  ,9028,8664,40671,19947,20724
378,Makwanpur,Bhimphedi  ,5128,4939,21626,10668,10958
379,Makwanpur,Hetauda Sub-Metropolitian City,47027,39425,195951,97324,98627
380,Makwanpur,Indrasarowar  ,3415,3217,13758,6739,7019
381,Makwanpur,Kailash  ,4487,4400,21992,11140,10852
382,Makwanpur,Makawanpurgadhi  ,5342,5239,24252,12169,12083
383,Makwanpur,Manahari  ,10762,10097,47144,22986,24158
384,Makwanpur,Raksirang  ,5077,5043,25871,13147,12724
385,Makwanpur,Thaha ,9842,8995,39163,19241,19922
386,Chitawan,Bharatpur Metropolitian City,98288,77838,369377,179744,189633
387,Chitawan,Ichchhyakamana  ,6174,5517,26965,13599,13366
388,Chitawan,Kalika ,12466,11623,52779,25740,27039
389,Chitawan,Khairahani ,16757,14650,68675,33104,35571
390,Chitawan,Madi ,10227,9710,38550,18257,20293
391,Chitawan,Rapti ,15459,14390,66426,32609,33817
392,Chitawan,Ratnanagar ,22670,19901,90978,44120,46858
393,Gorkha,Aarughat  ,6220,5950,21876,10409,11467
394,Gorkha,Ajirkot  ,3667,3589,13002,6389,6613
395,Gorkha,Bhimsenthapa  ,5265,5186,17118,7819,9299
396,Gorkha,Chum Nubri  ,2134,2036,6789,3240,3549
397,Gorkha,Dharche  ,3790,3683,14563,7025,7538
398,Gorkha,Gandaki  ,5688,5537,21662,10414,11248
399,Gorkha,Gorkha ,15298,12641,53285,25279,28006
400,Gorkha,Palungtar ,11317,10727,37274,17431,19843
401,Gorkha,Sahid Lakhan  ,6812,6554,22429,10492,11937
402,Gorkha,Siranchok  ,6026,5907,19829,9352,10477
403,Gorkha,Barpak Sulikot  ,6583,6426,23222,10921,12301
404,Lamjung,Besishahar ,11308,8781,38562,18525,20037
405,Lamjung,Dordi  ,4597,4462,15639,7585,8054
406,Lamjung,Dudhpokhari  ,2492,2470,8558,4178,4380
407,Lamjung,Kwholasothar  ,2285,2228,8008,3827,4181
408,Lamjung,MadhyaNepal ,6528,6002,21373,9767,11606
409,Lamjung,Marsyangdi  ,4620,4455,17267,8421,8846
410,Lamjung,Rainas ,5009,4872,17207,8309,8898
411,Lamjung,Sundarbazar ,8034,6831,26866,12597,14269
412,Tanahu,Anbukhaireni  ,6284,4758,22349,10791,11558
413,Tanahu,Bandipur  ,5418,4712,19403,9251,10152
414,Tanahu,Bhanu ,13064,12351,43255,19943,23312
415,Tanahu,Bhimad ,8964,7965,33077,15166,17911
416,Tanahu,Byas ,24078,19547,80944,37669,43275
417,Tanahu,Devghat  ,3878,3653,14941,7115,7826
418,Tanahu,Ghiring  ,4490,4102,15038,7013,8025
419,Tanahu,Myagde  ,6532,5857,23385,10781,12604
420,Tanahu,Rhishing  ,4981,4611,18821,8590,10231
421,Tanahu,Shuklagandaki ,15479,14086,55749,26023,29726
422,Syangja,Aandhikhola  ,4718,4278,14970,6916,8054
423,Syangja,Arjunchaupari  ,3810,3549,14094,6495,7599
424,Syangja,Bhirkot ,6226,5644,22617,10320,12297
425,Syangja,Biruwa  ,3980,3775,13900,6571,7329
426,Syangja,Chapakot ,6389,5726,22787,10398,12389
427,Syangja,Galyang ,7971,7226,31125,14413,16712
428,Syangja,Harinas  ,3591,3318,12979,5953,7026
429,Syangja,Kaligandagi  ,4946,4666,18008,8242,9766
430,Syangja,Phedikhola  ,3222,2919,10786,5035,5751
431,Syangja,Putalibazar ,12152,10390,42079,19440,22639
432,Syangja,Waling ,13705,11365,50932,23657,27275
